canonical_smiles,JAK1,JAK2,JAK3,TYK2,Δ(JAK1-JAK2),Δ(JAK1-JAK3),Δ(JAK1-TYK2),Δmin_vs_other
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4CCOCC4)c23)c1,,,8.08,,,,,
C=C(C)C(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,,,8.11,,,,,
C=C(C)C(=O)Nc1cncc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.07,,,,,
C=C(C)C(=O)n1ccc2ccc(-c3ncnc4[nH]cc(C(=O)OCC)c34)cc21,,,9.47,,,,,
C=C(C)Cn1nc(C)c(-c2ncnc3[nH]ccc23)n1,6.85,7.17,,,-0.3200000000000003,,,-0.3200000000000003
C=C(C)[C@@H]1CCC(C)[C@H](N(C)c2ncnc3[nH]ccc23)C1,,,5.92,,,,,
C=C(C)[C@H]1CCC(C)[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,8.4,,,,,
C=C(C)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,8.7,,,,,
C=C(CC)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,9.21,,,,,
C=C(CF)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.62,,,,,
C=C(CN1CCOCC1)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,9.18,,,,,
C=C(CNS(C)(=O)=O)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.28,,,,,
C=C(CO)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.7,,,,,
C=C(COC)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.6,,,,,
C=C(Cl)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,9.66,,,,,
C=C(F)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1F,,,10.89,,,,,
C=C(F)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.62,,,,,
C=C(c1ncnc2[nH]ccc12)C1CCCCC1,,,5.96,,,,,
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,8.09,7.57,6.15,6.92,0.5199999999999996,1.9399999999999995,1.17,0.5199999999999996
C=C1Cn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4,,,7.14,,,,,
C=CC(=O)N(C)C1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)C1,,,8.36,,,,,
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,,,4.72,,,,,
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1ccc(CN2CCN(CC(C)C)CC2=O)c(C)c1,,,5.54,,,,,
C=CC(=O)N(C)CCn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,,,5.22,,,,,
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(C#N)cc3)n2)ccc1F,,,7.96,,,,,
C=CC(=O)N(C)c1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,9.89,,,,,
C=CC(=O)N1CC2CC1CN2c1nc(NC)nc(Nc2cc[nH]n2)n1,,,6.16,,,,,
C=CC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1,6.06,6.37,5.56,,-0.3100000000000005,0.5,,-0.3100000000000005
C=CC(=O)N1CCC(Cn2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)CC1,6.33,7.83,6.44,,-1.5,-0.11000000000000032,,-1.5
C=CC(=O)N1CCC(Cn2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,,6.36,6.13,,,,,
C=CC(=O)N1CCC(Cn2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)CC1,,6.04,6.08,,,,,
C=CC(=O)N1CCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)CC1,,6.33,6.71,,,,,
C=CC(=O)N1CCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)CC1,,6.3,6.49,,,,,
C=CC(=O)N1CCC(Cn2nc(Br)c3c(N)ncnc32)CC1,6.72,7.04,6.99,,-0.3200000000000003,-0.27000000000000046,,-0.3200000000000003
C=CC(=O)N1CCC(N2NC(c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,,8.14,,,,,,
C=CC(=O)N1CCC(NC2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)CC1,,,5.75,,,,,
C=CC(=O)N1CCC(Nc2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,,,7.57,,,,,
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)CC1,,,7.29,,,,,
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cccc(NC)n4)c23)CC1,,,5.84,,,,,
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4ccnc(NC)c4)c23)CC1,,,8.38,,,,,
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)c4)c23)CC1,,,7.08,,,,,
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)CC1,,,6.91,,,,,
C=CC(=O)N1CCC([C@@H]2CCNC3C(C(N)=O)C(c4ccc(Oc5ccccc5)cc4)=NN32)CC1,,,5.86,,,,,
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4cc(OC)c(C)c(OC)c4)nn32)CC1,,,6.73,,,,,
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,,,6.24,,,,,
C=CC(=O)N1CCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,6.98,8.14,6.76,,-1.1600000000000001,0.22000000000000064,,-1.1600000000000001
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,,7.34,6.58,,,,,
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,,6.19,6.06,,,,,
C=CC(=O)N1CCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,7.02,8.01,7.15,,-0.9900000000000002,-0.13000000000000078,,-0.9900000000000002
C=CC(=O)N1CCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.16,6.3,8.0,5.85,-0.13999999999999968,-1.8399999999999999,0.3100000000000005,-1.8399999999999999
C=CC(=O)N1CCC(n2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,5.97,6.29,7.81,5.76,-0.3200000000000003,-1.8399999999999999,0.20999999999999996,-1.8399999999999999
C=CC(=O)N1CCC(n2nc(Br)c3c(N)ncnc32)CC1,6.85,7.21,7.09,,-0.3600000000000003,-0.2400000000000002,,-0.3600000000000003
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,5.71,6.09,7.72,5.4,-0.3799999999999999,-2.01,0.3099999999999996,-2.01
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,5.78,5.85,7.44,5.48,-0.0699999999999994,-1.6600000000000001,0.2999999999999998,-1.6600000000000001
C=CC(=O)N1CCCC(Cn2nc(Br)c3c(N)ncnc32)C1,6.23,7.14,7.68,,-0.9099999999999993,-1.4499999999999993,,-1.4499999999999993
C=CC(=O)N1CCCC(N2NC(c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,,8.19,,,,,,
C=CC(=O)N1CCCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,6.42,8.19,6.62,,-1.7699999999999996,-0.20000000000000018,,-1.7699999999999996
C=CC(=O)N1CCCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,6.0,7.24,6.17,,-1.2400000000000002,-0.16999999999999993,,-1.2400000000000002
